model,runtime_const,runtime_in_tokens,runtime_out_tokens,runtime_R2,energy_const,energy_in_tokens,energy_out_tokens,energy_R2,accuracy,runtime_pred,energy_pred,runtime_norm,energy_norm,accuracy_norm,runtime_soft,energy_soft,accuracy_soft,score
mistral-7b-instruct-v0,-1.5545997302236934e-16,-0.1463093012459188,0.2516094125338362,0.0385067065443565,-3.333900073156589e-16,-0.2162516648055347,0.3229020374526564,0.0633830730335829,0.723,999.0,999.0,1.0773460692542374,0.9681085581966142,0.0,0.11323927610662324,0.1368212182690335,0.502365266174608,0.23705165577574175
falcon-7b-instruct,1.4312823929524263e-16,-0.1031611933360499,0.4774185121292104,0.2224658109456456,9.471861229376487e-17,-0.0982651517068872,0.4158879023884861,0.1692553843787766,0.705,6.40445620178412,710.2236713057521,-0.2845685186379932,0.3528060079893266,0.47368408587261035,0.44204763844468054,0.2531488479823323,0.312824831806969,0.34661115931466263
phi-3-mini-4k-instruct,-5.724587470723462e-17,-0.1619850386675534,0.3317506312241313,0.0753222031940131,-1.7805310177643194e-16,-0.20430790357538,0.3768286037765644,0.0963846098951807,0.685,2.023011288699177,297.43884857374684,-0.29058018550518766,-0.5267243720190162,0.9999997368421745,0.4447130854486963,0.6100299337486341,0.18480990201842318,0.4163371849095957
