model,runtime_const,runtime_in_tokens,runtime_out_tokens,runtime_R2,energy_const,energy_in_tokens,energy_out_tokens,energy_R2,accuracy,runtime_pred,energy_pred,runtime_norm,energy_norm,accuracy_norm,runtime_soft,energy_soft,accuracy_soft,score
falcon-7b-instruct,1.4312823929524263e-16,-0.1031611933360499,0.4774185121292104,0.2224658109456456,9.471861229376487e-17,-0.0982651517068872,0.4158879023884861,0.1692553843787766,0.705,23.62621576523738,20.522426959864582,1.0448634811260744,0.9969941696269029,0.47368408587261035,0.12378008922519351,0.1320968656738671,0.312824831806969,0.12378008922519351
phi-3-mini-4k-instruct,-5.724587470723462e-17,-0.1619850386675534,0.3317506312241313,0.0753222031940131,-1.7805310177643194e-16,-0.20430790357538,0.3768286037765644,0.0963846098951807,0.685,15.785386921757823,17.788103467577127,0.061200927992760265,0.26042743780714683,0.9999997368421745,0.3310167804386026,0.27591758502572283,0.18480990201842318,0.3310167804386026
mistral-7b-instruct-v0.2,-1.5545997302236934e-16,-0.1463093012459188,0.2516094125338362,0.0385067065443565,-3.333900073156589e-16,-0.2162516648055347,0.3229020374526564,0.0633830730335829,0.723,11.807914930504213,14.954242256446733,-0.43778844316108206,-0.502952570666866,0.0,0.5452031303362039,0.59198554930041,0.502365266174608,0.5452031303362039
