model,runtime_const,runtime_in_tokens,runtime_out_tokens,runtime_R2,energy_const,energy_in_tokens,energy_out_tokens,energy_R2,accuracy,runtime_pred,energy_pred,runtime_norm,energy_norm,accuracy_norm,runtime_soft,energy_soft,accuracy_soft,score
mistral-7b-instruct-v0.2-v0.2,-1.5545997302236934e-16,-0.1463093012459188,0.2516094125338362,0.0385067065443565,-3.333900073156589e-16,-0.2162516648055347,0.3229020374526564,0.0633830730335829,0.723,18.73184912039202,32.58529569639477,1.025904433913369,0.9782417206109133,1.0,0.12723423858701735,0.13516649115843216,0.5023653101963464,0.24756975179926172
phi-3-mini-4k-instruct,-5.724587470723462e-17,-0.1619850386675534,0.3317506312241313,0.0753222031940131,-1.7805310177643194e-16,-0.20430790357538,0.3768286037765644,0.0963846098951807,0.685,15.420448477852894,23.609510694957564,-0.46927330387655286,0.32181512385496447,0.0,0.5674811447863057,0.26058624550246784,0.1848098695789502,0.38498582382527224
falcon-7b-instruct,1.4312823929524263e-16,-0.1031611933360499,0.4774185121292104,0.2224658109456456,9.471861229376487e-17,-0.0982651517068872,0.4158879023884861,0.1692553843787766,0.705,16.79349321210607,12.10924472678245,0.15068970913744043,-0.519234483512935,0.5263157894736828,0.3052846166266768,0.6042472633391,0.3128248202247033,0.667444424375466
