model,runtime_const,runtime_in_tokens,runtime_out_tokens,runtime_R2,energy_const,energy_in_tokens,energy_out_tokens,energy_R2,accuracy,runtime_pred,energy_pred,runtime_norm,energy_norm,accuracy_norm,runtime_scaled,energy_scaled,accuracy_scaled,score
falcon-7b-instruct,1.4312823929524263e-16,-0.1031611933360499,0.4774185121292104,0.2224658109456456,9.471861229376487e-17,-0.0982651517068872,0.4158879023884861,0.1692553843787766,0.705,22.12918649006474,19.251935957138187,1.0427621571635612,0.9846803521618539,0.47368408587261035,0.12418303704108495,0.13411491240254478,0.312824831806969,0.18574151315158008
phi-3-mini-4k-instruct,-5.724587470723462e-17,-0.1619850386675534,0.3317506312241313,0.0753222031940131,-1.7805310177643194e-16,-0.20430790357538,0.3768286037765644,0.0963846098951807,0.685,15.10632455153151,17.09802066677239,0.0722062088625875,0.3013850692451521,0.9999997368421745,0.32777012710961184,0.2656002265616214,0.18480990201842318,0.25379710930826005
mistral-7b-instruct-v0.2,-1.5545997302236934e-16,-0.1463093012459188,0.2516094125338362,0.0385067065443565,-3.333900073156589e-16,-0.2162516648055347,0.3229020374526564,0.0633830730335829,0.723,11.386714485352543,14.527640765858246,-0.4418420106079157,-0.5140269710771281,0.0,0.5480468358493031,0.6002848610358338,0.502365266174608,0.5604613775401599
