model,runtime_const,runtime_in_tokens,runtime_out_tokens,runtime_R2,energy_const,energy_in_tokens,energy_out_tokens,energy_R2,accuracy,runtime_pred,energy_pred,runtime_norm,energy_norm,accuracy_norm,runtime_soft,energy_soft,accuracy_soft,score
falcon-7b-instruct,1.4312823929524263e-16,-0.1031611933360499,0.4774185121292104,0.2224658109456456,9.471861229376487e-17,-0.0982651517068872,0.4158879023884861,0.1692553843787766,0.705,6.450252134626571,711.4272896158876,-0.2845578478735296,0.35436626885320033,0.47368408587261035,0.44204403281268784,0.2527797705163046,0.312824831806969,0.28280230116163685
mistral-7b-instruct-v0,-1.5545997302236934e-16,-0.1463093012459188,0.2516094125338362,0.0385067065443565,-3.333900073156589e-16,-0.2162516648055347,0.3229020374526564,0.0633830730335829,0.723,999.0,999.0,1.0773460473849648,0.9675869252828067,0.0,0.11323956327512678,0.13690646849367574,0.502365266174608,0.31963586733414184
phi-3-mini-4k-instruct,-5.724587470723462e-17,-0.1619850386675534,0.3317506312241313,0.0753222031940131,-1.7805310177643194e-16,-0.20430790357538,0.3768286037765644,0.0963846098951807,0.685,2.0575921326151403,298.06503360454604,-0.29058513343795755,-0.5270882809749814,0.9999997368421745,0.4447164039121853,0.6103137609900197,0.18480990201842318,0.3975618315042214
