model,runtime_const,runtime_in_tokens,runtime_out_tokens,runtime_R2,energy_const,energy_in_tokens,energy_out_tokens,energy_R2,accuracy,runtime_pred,energy_pred,runtime_norm,energy_norm,accuracy_norm,runtime_soft,energy_soft,accuracy_soft,score
phi-3-mini-4k-instruct,-5.724587470723462e-17,-0.1619850386675534,0.3317506312241313,0.0753222031940131,-1.7805310177643194e-16,-0.20430790357538,0.3768286037765644,0.0963846098951807,0.685,2.0790405798960134,298.5290282280658,-0.2905927842666062,-0.5276652332228208,0.9999997368421745,0.444721535149877,0.6107643445905674,0.18480990201842318,0.18480990201842318
falcon-7b-instruct,1.4312823929524263e-16,-0.1031611933360499,0.4774185121292104,0.2224658109456456,9.471861229376487e-17,-0.0982651517068872,0.4158879023884861,0.1692553843787766,0.705,6.489182095831751,713.1236139310097,-0.2845413479655678,0.3568511998994117,0.47368408587261035,0.44203845753269017,0.25219302425808343,0.312824831806969,0.312824831806969
mistral-7b-instruct-v0,-1.5545997302236934e-16,-0.1463093012459188,0.2516094125338362,0.0385067065443565,-3.333900073156589e-16,-0.2162516648055347,0.3229020374526564,0.0633830730335829,0.723,999.0,999.0,1.0773460134571695,0.9667539097741444,0.0,0.11324000731743288,0.13704263115134926,0.502365266174608,0.502365266174608
