model,runtime_const,runtime_in_tokens,runtime_out_tokens,runtime_R2,energy_const,energy_in_tokens,energy_out_tokens,energy_R2,accuracy,runtime_est,energy_est,runtime_norm,energy_norm,accuracy_norm,score
mistral-7B-instruct-v0.2,-1.5545997302236934e-16,-0.1463093012459188,0.2516094125338362,0.0385067065443565,-3.333900073156589e-16,-0.2162516648055347,0.3229020374526564,0.0633830730335829,0.723,0.39791871377975496,0.5391537022581911,1.0,0.6267638765249229,0.9999997368421745,0.730812125712839
falcon-7b-instruct,1.4312823929524263e-16,-0.1031611933360499,0.4774185121292104,0.2224658109456456,9.471861229376487e-17,-0.0982651517068872,0.4158879023884861,0.1692553843787766,0.705,0.5805797054652603,0.5141530540953733,5.4746223332458044e-08,1.0,0.5263156509695641,4.943260816042871
phi-3-mini-4k-instruct,-5.724587470723462e-17,-0.1619850386675534,0.3317506312241313,0.0753222031940131,-1.7805310177643194e-16,-0.20430790357538,0.3768286037765644,0.0963846098951807,0.685,0.4937356698916847,0.5811365073519444,0.47543835176760063,1.4929057867707485e-07,0.0,6.05274070559599
