model,runtime_const,runtime_in_tokens,runtime_out_tokens,runtime_R2,energy_const,energy_in_tokens,energy_out_tokens,energy_R2,accuracy,runtime_pred,energy_pred,runtime_norm,energy_norm,accuracy_norm,runtime_soft,energy_soft,accuracy_soft,score
phi-3-mini-4k-instruct,-5.724587470723462e-17,-0.1619850386675534,0.3317506312241313,0.0753222031940131,-1.7805310177643194e-16,-0.20430790357538,0.3768286037765644,0.0963846098951807,0.685,15.445855736644665,17.443062067174758,0.0664365981184187,0.27923778815343075,0.9999997368421745,0.3294694283072633,0.2711352754589106,0.18480990201842318,0.18480990201842318
falcon-7b-instruct,1.4312823929524263e-16,-0.1031611933360499,0.4774185121292104,0.2224658109456456,9.471861229376487e-17,-0.0982651517068872,0.4158879023884861,0.1692553843787766,0.705,22.877701127651058,19.88718145850138,1.0438719275327684,0.9914385230561362,0.47368408587261035,0.12397107077090307,0.1330090449254257,0.312824831806969,0.312824831806969
mistral-7b-instruct-v0.2,-1.5545997302236934e-16,-0.1463093012459188,0.2516094125338362,0.0385067065443565,-3.333900073156589e-16,-0.2162516648055347,0.3229020374526564,0.0633830730335829,0.723,11.59731470792838,14.740941511152489,-0.4397230123492779,-0.5081428335232417,0.0,0.5465595009218336,0.5958556796156638,0.502365266174608,0.502365266174608
