model,runtime_const,runtime_in_tokens,runtime_out_tokens,runtime_R2,energy_const,energy_in_tokens,energy_out_tokens,energy_R2,accuracy,runtime_pred,energy_pred,runtime_norm,energy_norm,accuracy_norm,runtime_soft,energy_soft,accuracy_soft,score
phi-3-mini-4k-instruct,-5.724587470723462e-17,-0.1619850386675534,0.3317506312241313,0.0753222031940131,-1.7805310177643194e-16,-0.20430790357538,0.3768286037765644,0.0963846098951807,0.685,17.483042847323603,19.51331046958897,0.04092907364669082,0.19740642297493033,0.9999997368421745,0.33705494941972763,0.29247955048270674,0.18480990201842318,0.18480990201842318
falcon-7b-instruct,1.4312823929524263e-16,-0.1031611933360499,0.4774185121292104,0.2224658109456456,9.471861229376487e-17,-0.0982651517068872,0.4158879023884861,0.1692553843787766,0.705,27.368788953168984,23.69865446668057,1.0485629921736808,1.0143409264662402,0.47368408587261035,0.1230526180832465,0.12921274704967053,0.312824831806969,0.312824831806969
mistral-7b-instruct-v0.2,-1.5545997302236934e-16,-0.1463093012459188,0.2516094125338362,0.0385067065443565,-3.333900073156589e-16,-0.2162516648055347,0.3229020374526564,0.0633830730335829,0.723,12.860916043383387,16.02074598291795,-0.43019487527093436,-0.484304909907781,0.0,0.5398924324970258,0.5783077024676226,0.502365266174608,0.502365266174608
