prompt_id,input_tokens,output_tokens,runtime_seconds,energy_joules,tin_tout
120,12,62,1.4594600200653076,279.595,744
121,9,59,1.405898094177246,228.2435,531
122,8,58,1.456965446472168,254.6755,464
123,9,59,1.459855556488037,283.4535,531
124,12,62,1.593357801437378,306.685,744
125,10,60,1.5727510452270508,389.442,600
126,11,61,1.6170597076416016,328.5565,671
127,11,61,1.5985541343688965,341.074,671
128,20,70,1.5121145248413086,365.8895,1400
129,18,68,1.624162197113037,347.476,1224
130,10,60,1.4849417209625244,273.678,600
131,12,62,1.712827444076538,354.1785,744
132,8,58,1.4740910530090332,264.9635,464
133,12,29,0.5705077648162842,190.876,348
134,12,62,1.4804794788360596,230.9755,744
135,11,61,1.7543504238128662,278.828,671
136,9,59,1.570530891418457,283.878,531
137,11,61,1.4965646266937256,234.832,671
138,10,44,0.931337594985962,126.602,440
139,13,63,1.5064222812652588,250.0035,819
140,12,62,1.580373764038086,337.8405,744
141,9,59,1.4612195491790771,300.048,531
142,10,60,1.5849230289459229,328.445,600
143,9,59,1.5518181324005127,389.3385,531
144,10,60,1.615190029144287,310.6065,600
145,13,63,1.5885496139526367,379.899,819
146,5,55,1.5386738777160645,301.9925,275
147,9,59,1.4840190410614014,255.02,531
148,12,62,1.3544209003448486,282.7665,744
149,11,61,1.536224603652954,361.9845,671
150,11,61,1.4684150218963623,283.266,671
151,13,63,1.4652562141418457,276.3285,819
152,11,55,1.3263344764709473,275.449,605
153,30,80,1.4555041790008545,254.471,2400
154,18,68,1.4661667346954346,234.9245,1224
155,28,78,1.4922335147857666,261.8065,2184
156,11,61,1.4173669815063477,278.75100000000003,671
157,11,61,1.6285979747772217,297.7185,671
158,13,63,1.682636260986328,388.2555,819
159,15,65,1.4909749031066897,258.9335,975
160,11,61,1.944972276687622,343.2855,671
161,11,61,1.5860002040863037,395.1815,671
162,11,61,1.7955052852630615,314.2185,671
163,18,68,1.6120553016662598,359.49949999999995,1224
164,14,64,1.7085113525390625,332.15500000000003,896
165,13,63,1.4742517471313477,263.2655,819
166,10,60,1.4239521026611328,256.32,600
167,9,59,1.4111700057983398,256.691,531
168,14,64,1.6422979831695557,390.2045,896
169,9,59,1.6328270435333252,297.052,531
170,9,59,1.6680445671081543,301.773,531
171,8,58,1.5309898853302002,376.8045,464
172,16,66,1.669679880142212,305.201,1056
173,10,60,1.7993359565734863,394.3405,600
174,13,63,1.643024206161499,311.5235,819
175,14,64,1.8192214965820312,368.7145,896
176,9,59,1.554229736328125,322.013,531
177,11,61,1.8899149894714355,380.466,671
178,12,62,1.545792818069458,381.3805,744
179,15,65,1.7181320190429688,347.903,975
180,7,57,1.5348262786865234,341.5765,399
181,17,67,1.8592841625213623,389.4225,1139
182,8,58,1.5912611484527588,364.7845,464
183,9,59,1.690269947052002,345.90500000000003,531
184,11,61,1.6934077739715576,319.6115,671
185,12,62,1.4029548168182373,253.8105,744
186,10,60,1.5461957454681396,358.5595,600
187,11,61,1.415558099746704,281.7825,671
188,11,61,1.5399789810180664,310.504,671
189,16,66,1.6434037685394287,350.5835,1056
190,13,63,1.5773558616638184,331.9075,819
191,11,27,0.6122262477874756,195.6015,297
192,15,65,1.6290452480316162,386.0615,975
193,10,60,1.5064635276794434,228.32,600
194,12,62,1.6462795734405518,356.2335,744
195,18,45,0.8103561401367188,197.7555,810
196,11,61,1.6671512126922607,339.94100000000003,671
197,10,60,1.5777795314788818,350.351,600
198,16,66,1.5539448261260986,363.7275,1056
199,11,61,1.5694591999053955,386.5685,671
200,9,59,1.8269248008728027,352.6455,531
201,11,61,1.827970266342163,353.9615,671
202,11,61,1.7855899333953855,377.6335,671
203,10,60,1.722914695739746,331.6835,600
204,25,75,1.7603754997253418,367.39,1875
205,10,60,1.6684176921844482,367.1415,600
206,12,62,1.72174334526062,368.375,744
207,9,59,1.861333131790161,304.855,531
208,8,58,1.70304274559021,362.608,464
