model,runtime_const,runtime_in_tokens,runtime_out_tokens,runtime_R2,energy_const,energy_in_tokens,energy_out_tokens,energy_R2
falcon-7b-instruct,1.4312823929524265e-16,-0.1031611933360499,0.4774185121292104,0.22246581094564566,9.471861229376488e-17,-0.09826515170688721,0.41588790238848616,0.16925538437877663
mistral-7B-instruct-v0.2,-1.5545997302236934e-16,-0.14630930124591884,0.2516094125338362,0.038506706544356506,-3.333900073156589e-16,-0.21625166480553473,0.3229020374526564,0.06338307303358293
phi-3-mini-4k-instruct,-5.724587470723463e-17,-0.1619850386675534,0.33175063122413134,0.07532220319401317,-1.7805310177643197e-16,-0.20430790357538,0.37682860377656446,0.09638460989518072
